RecordDate,AgencyName,FiscalYear,RestatementFlag,Measures,Amount (in Billions)
2017-09-30,Department of Veterans Affairs,2017,N,Earned Revenue,4.8
2017-09-30,Department of Veterans Affairs,2017,N,Subtotal,250
2017-09-30,Department of Veterans Affairs,2017,N,Change in Assumptions,229.7
2017-09-30,Department of Veterans Affairs,2017,N,Net Cost,479.7
2017-09-30,Interest on Treasury Securities Held by the Public,2017,N,Gross Cost,296.3
2017-09-30,Interest on Treasury Securities Held by the Public,2017,N,Earned Revenue,NA
2017-09-30,Interest on Treasury Securities Held by the Public,2017,N,Subtotal,296.3
2017-09-30,Interest on Treasury Securities Held by the Public,2017,N,Change in Assumptions,NA
2017-09-30,Interest on Treasury Securities Held by the Public,2017,N,Net Cost,296.3
2017-09-30,Office of Personnel Management,2017,N,Gross Cost,90.1
2017-09-30,Office of Personnel Management,2017,N,Earned Revenue,22.3
2017-09-30,Office of Personnel Management,2017,N,Subtotal,67.8
2017-09-30,Office of Personnel Management,2017,N,Change in Assumptions,102.5
2017-09-30,Office of Personnel Management,2017,N,Net Cost,170.3
2017-09-30,Department of the Treasury,2017,N,Gross Cost,179.5
2017-09-30,Department of the Treasury,2017,N,Earned Revenue,37.9
2017-09-30,Department of the Treasury,2017,N,Subtotal,141.6
2017-09-30,Department of the Treasury,2017,N,Change in Assumptions,NA
2017-09-30,Department of the Treasury,2017,N,Net Cost,141.6
2017-09-30,Department of Agriculture,2017,N,Gross Cost,142.9
2017-09-30,Department of Agriculture,2017,N,Earned Revenue,8.1
2017-09-30,Department of Agriculture,2017,N,Subtotal,134.8
2017-09-30,Department of Agriculture,2017,N,Change in Assumptions,NA
2017-09-30,Department of Agriculture,2017,N,Net Cost,134.8
2017-09-30,Department of Transportation,2017,N,Gross Cost,79.6
2017-09-30,Department of Transportation,2017,N,Earned Revenue,0.9
2017-09-30,Department of Transportation,2017,N,Subtotal,78.7
2017-09-30,Department of Transportation,2017,N,Change in Assumptions,NA
2017-09-30,Department of Transportation,2017,N,Net Cost,78.7
2017-09-30,Department of Housing and Urban Development,2017,N,Gross Cost,70.9
2017-09-30,Department of Housing and Urban Development,2017,N,Earned Revenue,1.7
2017-09-30,Department of Housing and Urban Development,2017,N,Subtotal,69.2
2017-09-30,Department of Housing and Urban Development,2017,N,Change in Assumptions,NA
2017-09-30,Department of Housing and Urban Development,2017,N,Net Cost,69.2
2017-09-30,Department of Homeland Security,2017,N,Gross Cost,77.3
2017-09-30,Department of Homeland Security,2017,N,Earned Revenue,12.3
2017-09-30,Department of Homeland Security,2017,N,Subtotal,65
2017-09-30,Department of Homeland Security,2017,N,Change in Assumptions,-0.5
2017-09-30,Department of Homeland Security,2017,N,Net Cost,64.5
2017-09-30,Department of Education,2017,N,Gross Cost,84.4
2017-09-30,Department of Education,2017,N,Earned Revenue,30.6
2017-09-30,Department of Education,2017,N,Subtotal,53.8
2017-09-30,Department of Education,2017,N,Change in Assumptions,NA
2017-09-30,Department of Education,2017,N,Net Cost,53.8
2017-09-30,Department of Labor,2017,N,Gross Cost,43.5
2017-09-30,Department of Labor,2017,N,Earned Revenue,NA
2017-09-30,Department of Labor,2017,N,Subtotal,43.5
2017-09-30,Department of Labor,2017,N,Change in Assumptions,NA
2017-09-30,Department of Labor,2017,N,Net Cost,43.5
2017-09-30,Department of Energy,2017,N,Gross Cost,46.9
2017-09-30,Department of Energy,2017,N,Earned Revenue,5.6
2017-09-30,Department of Energy,2017,N,Subtotal,41.3
2017-09-30,Department of Energy,2017,N,Change in Assumptions,NA
2017-09-30,Department of Energy,2017,N,Net Cost,41.3
2017-09-30,Defense Security Cooperation Agency,2017,N,Gross Cost,36.7
2017-09-30,Defense Security Cooperation Agency,2017,N,Earned Revenue,NA
2017-09-30,Defense Security Cooperation Agency,2017,N,Subtotal,36.7
2017-09-30,Defense Security Cooperation Agency,2017,N,Change in Assumptions,NA
2017-09-30,Defense Security Cooperation Agency,2017,N,Net Cost,36.7
2017-09-30,Department of Justice,2017,N,Gross Cost,34.2
2017-09-30,Department of Justice,2017,N,Earned Revenue,1.6
2017-09-30,Department of Justice,2017,N,Subtotal,32.6
2017-09-30,Department of Justice,2017,N,Change in Assumptions,NA
2017-09-30,Department of Justice,2017,N,Net Cost,32.6
2017-09-30,Department of State,2017,N,Gross Cost,31.3
2017-09-30,Department of State,2017,N,Earned Revenue,4.8
2017-09-30,Department of State,2017,N,Subtotal,26.5
2017-09-30,Department of State,2017,N,Change in Assumptions,0.3
2017-09-30,Department of State,2017,N,Net Cost,26.8
2017-09-30,Federal Communications Commission,2017,N,Gross Cost,20.7
2017-09-30,Federal Communications Commission,2017,N,Earned Revenue,0.4
2017-09-30,Federal Communications Commission,2017,N,Subtotal,20.3
2017-09-30,Federal Communications Commission,2017,N,Change in Assumptions,NA
2017-09-30,Federal Communications Commission,2017,N,Net Cost,20.3
2017-09-30,National Aeronautics and Space Administration,2017,N,Gross Cost,19.6
2017-09-30,National Aeronautics and Space Administration,2017,N,Earned Revenue,0.2
2017-09-30,National Aeronautics and Space Administration,2017,N,Subtotal,19.4
2017-09-30,National Aeronautics and Space Administration,2017,N,Change in Assumptions,NA
2017-09-30,National Aeronautics and Space Administration,2017,N,Net Cost,19.4
2017-09-30,Department of the Interior,2017,N,Gross Cost,20.2
2017-09-30,Department of the Interior,2017,N,Earned Revenue,2.7
2017-09-30,Department of the Interior,2017,N,Subtotal,17.5
2017-09-30,Department of the Interior,2017,N,Change in Assumptions,NA
2017-09-30,Department of the Interior,2017,N,Net Cost,17.5
2017-09-30,U.S. Agency for International Development,2017,N,Gross Cost,13.2
2017-09-30,U.S. Agency for International Development,2017,N,Earned Revenue,NA
2017-09-30,U.S. Agency for International Development,2017,N,Subtotal,13.2
2017-09-30,U.S. Agency for International Development,2017,N,Change in Assumptions,NA
2017-09-30,U.S. Agency for International Development,2017,N,Net Cost,13.2
2017-09-30,Department of Commerce,2017,N,Gross Cost,12.9
2017-09-30,Department of Commerce,2017,N,Earned Revenue,3.3
2017-09-30,Department of Commerce,2017,N,Subtotal,9.6
2017-09-30,Department of Commerce,2017,N,Change in Assumptions,NA
2017-09-30,Department of Commerce,2017,N,Net Cost,9.6
2017-09-30,Railroad Retirement Board,2017,N,Gross Cost,13
2017-09-30,Railroad Retirement Board,2017,N,Earned Revenue,3.8
2017-09-30,Railroad Retirement Board,2017,N,Subtotal,9.2
2017-09-30,Railroad Retirement Board,2017,N,Change in Assumptions,NA
2017-09-30,Railroad Retirement Board,2017,N,Net Cost,9.2
2017-09-30,Environmental Protection Agency,2017,N,Gross Cost,8.8
2017-09-30,Environmental Protection Agency,2017,N,Earned Revenue,0.4
2017-09-30,Environmental Protection Agency,2017,N,Subtotal,8.4
2017-09-30,Environmental Protection Agency,2017,N,Change in Assumptions,NA
2017-09-30,Environmental Protection Agency,2017,N,Net Cost,8.4
2017-09-30,National Science Foundation,2017,N,Gross Cost,7.1
2017-09-30,National Science Foundation,2017,N,Earned Revenue,NA
2017-09-30,National Science Foundation,2017,N,Subtotal,7.1
2017-09-30,National Science Foundation,2017,N,Change in Assumptions,NA
2017-09-30,National Science Foundation,2017,N,Net Cost,7.1
2017-09-30,U.S. Postal Service,2017,N,Gross Cost,71.9
2017-09-30,U.S. Postal Service,2017,N,Earned Revenue,68.7
2017-09-30,U.S. Postal Service,2017,N,Subtotal,3.2
2017-09-30,U.S. Postal Service,2017,N,Change in Assumptions,NA
2017-09-30,U.S. Postal Service,2017,N,Net Cost,3.2
2017-09-30,Smithsonian Institution,2017,N,Gross Cost,0.9
2017-09-30,Smithsonian Institution,2017,N,Earned Revenue,NA
2017-09-30,Smithsonian Institution,2017,N,Subtotal,0.9
2017-09-30,Smithsonian Institution,2017,N,Change in Assumptions,NA
2017-09-30,Smithsonian Institution,2017,N,Net Cost,0.9
2017-09-30,Millennium Challenge Corporation,2017,N,Gross Cost,0.7
2017-09-30,Millennium Challenge Corporation,2017,N,Earned Revenue,NA
2017-09-30,Millennium Challenge Corporation,2017,N,Subtotal,0.7
2017-09-30,Millennium Challenge Corporation,2017,N,Change in Assumptions,NA
2017-09-30,Millennium Challenge Corporation,2017,N,Net Cost,0.7
2017-09-30,U.S. Nuclear Regulatory Commission,2017,N,Gross Cost,0.9
2017-09-30,U.S. Nuclear Regulatory Commission,2017,N,Earned Revenue,0.8
2017-09-30,U.S. Nuclear Regulatory Commission,2017,N,Subtotal,0.1
2017-09-30,U.S. Nuclear Regulatory Commission,2017,N,Change in Assumptions,NA
2017-09-30,U.S. Nuclear Regulatory Commission,2017,N,Net Cost,0.1
2017-09-30,Overseas Private Investment Corporation,2017,N,Gross Cost,NA
2017-09-30,Overseas Private Investment Corporation,2017,N,Earned Revenue,0.1
2017-09-30,Overseas Private Investment Corporation,2017,N,Subtotal,-0.1
2017-09-30,Overseas Private Investment Corporation,2017,N,Change in Assumptions,NA
2017-09-30,Overseas Private Investment Corporation,2017,N,Net Cost,-0.1
2017-09-30,Securities and Exchange Commission,2017,N,Gross Cost,1.9
2017-09-30,Securities and Exchange Commission,2017,N,Earned Revenue,2.1
2017-09-30,Securities and Exchange Commission,2017,N,Subtotal,-0.2
2017-09-30,Securities and Exchange Commission,2017,N,Change in Assumptions,NA
2017-09-30,Securities and Exchange Commission,2017,N,Net Cost,-0.2
2017-09-30,Small Business Administration,2017,N,Gross Cost,0.1
2017-09-30,Small Business Administration,2017,N,Earned Revenue,0.3
2017-09-30,Small Business Administration,2017,N,Subtotal,-0.2
2017-09-30,Small Business Administration,2017,N,Change in Assumptions,NA
2017-09-30,Small Business Administration,2017,N,Net Cost,-0.2
2017-09-30,Farm Credit System Insurance Corporation,2017,N,Gross Cost,NA
2017-09-30,Farm Credit System Insurance Corporation,2017,N,Earned Revenue,0.4
2017-09-30,Farm Credit System Insurance Corporation,2017,N,Subtotal,-0.4
2017-09-30,Farm Credit System Insurance Corporation,2017,N,Change in Assumptions,NA
2017-09-30,Farm Credit System Insurance Corporation,2017,N,Net Cost,-0.4
2017-09-30,General Services Administration,2017,N,Gross Cost,0.2
2017-09-30,General Services Administration,2017,N,Earned Revenue,0.6
2017-09-30,General Services Administration,2017,N,Subtotal,-0.4
2017-09-30,General Services Administration,2017,N,Change in Assumptions,NA
2017-09-30,General Services Administration,2017,N,Net Cost,-0.4
2017-09-30,National Credit Union Administration,2017,N,Gross Cost,-0.1
2017-09-30,National Credit Union Administration,2017,N,Earned Revenue,0.7
2017-09-30,National Credit Union Administration,2017,N,Subtotal,-0.8
2017-09-30,National Credit Union Administration,2017,N,Change in Assumptions,NA
2017-09-30,National Credit Union Administration,2017,N,Net Cost,-0.8
2017-09-30,Tennessee Valley Authority,2017,N,Gross Cost,9.9
2017-09-30,Tennessee Valley Authority,2017,N,Earned Revenue,10.7
2017-09-30,Tennessee Valley Authority,2017,N,Subtotal,-0.8
2017-09-30,Tennessee Valley Authority,2017,N,Change in Assumptions,NA
2017-09-30,Tennessee Valley Authority,2017,N,Net Cost,-0.8
2017-09-30,Export-Import Bank of the United States,2017,N,Gross Cost,0.4
2017-09-30,Export-Import Bank of the United States,2017,N,Earned Revenue,1.2
2017-09-30,Export-Import Bank of the United States,2017,N,Subtotal,-0.8
2017-09-30,Export-Import Bank of the United States,2017,N,Change in Assumptions,NA
2017-09-30,Export-Import Bank of the United States,2017,N,Net Cost,-0.8
2017-09-30,Pension Benefit Guaranty Corporation,2017,N,Gross Cost,9.8
2017-09-30,Pension Benefit Guaranty Corporation,2017,N,Earned Revenue,14.1
2017-09-30,Pension Benefit Guaranty Corporation,2017,N,Subtotal,-4.3
2017-09-30,Pension Benefit Guaranty Corporation,2017,N,Change in Assumptions,NA
2017-09-30,Pension Benefit Guaranty Corporation,2017,N,Net Cost,-4.3
2017-09-30,Federal Deposit Insurance Corporation,2017,N,Gross Cost,1.5
2017-09-30,Federal Deposit Insurance Corporation,2017,N,Earned Revenue,10.6
2017-09-30,Federal Deposit Insurance Corporation,2017,N,Subtotal,-9.1
2017-09-30,Federal Deposit Insurance Corporation,2017,N,Change in Assumptions,NA
2017-09-30,Federal Deposit Insurance Corporation,2017,N,Net Cost,-9.1
2017-09-30,All other entities,2017,N,Gross Cost,22.7
2017-09-30,All other entities,2017,N,Earned Revenue,1.4
2017-09-30,All other entities,2017,N,Subtotal,21.3
2017-09-30,All other entities,2017,N,Change in Assumptions,NA
2017-09-30,All other entities,2017,N,Net Cost,21.3
2017-09-30,Total,2017,N,Gross Cost,4609.3
2017-09-30,Total,2017,N,Earned Revenue,431.9
2017-09-30,Total,2017,N,Subtotal,4177.4
2017-09-30,Total,2017,N,Change in Assumptions,356.5
2017-09-30,Total,2017,N,Net Cost,4533.9
2017-09-30,Department of Health and Human Services,2017,Y,Gross Cost,1170
2017-09-30,Department of Health and Human Services,2017,Y,Earned Revenue,96.1
2017-09-30,Department of Health and Human Services,2017,Y,Subtotal,1073.9
2017-09-30,Department of Health and Human Services,2017,Y,Change in Assumptions,0.4
2017-09-30,Department of Health and Human Services,2017,Y,Net Cost,1074.3
2017-09-30,Social Security Administration,2017,Y,Gross Cost,982.1
2017-09-30,Social Security Administration,2017,Y,Earned Revenue,0.3
2017-09-30,Social Security Administration,2017,Y,Subtotal,981.8
2017-09-30,Social Security Administration,2017,Y,Change in Assumptions,NA
2017-09-30,Social Security Administration,2017,Y,Net Cost,981.8
2017-09-30,Department of Defense,2017,Y,Gross Cost,721.9
2017-09-30,Department of Defense,2017,Y,Earned Revenue,55.1
2017-09-30,Department of Defense,2017,Y,Subtotal,666.8
2017-09-30,Department of Defense,2017,Y,Change in Assumptions,-57.6
2017-09-30,Department of Defense,2017,Y,Net Cost,609.2
2017-09-30,Department of Veterans Affairs,2017,Y,Gross Cost,276.5
2017-09-30,Department of Veterans Affairs,2017,Y,Earned Revenue,4.9
2017-09-30,Department of Veterans Affairs,2017,Y,Subtotal,271.6
2017-09-30,Department of Veterans Affairs,2017,Y,Change in Assumptions,377.5
2017-09-30,Department of Veterans Affairs,2017,Y,Net Cost,649.1
2017-09-30,Interest on Treasury Securities Held by the Public,2017,Y,Gross Cost,273
2017-09-30,Interest on Treasury Securities Held by the Public,2017,Y,Earned Revenue,NA
2017-09-30,Interest on Treasury Securities Held by the Public,2017,Y,Subtotal,273
2017-09-30,Interest on Treasury Securities Held by the Public,2017,Y,Change in Assumptions,NA
2017-09-30,Interest on Treasury Securities Held by the Public,2017,Y,Net Cost,273
2017-09-30,Office of Personnel Management,2017,Y,Gross Cost,60.2
2017-09-30,Office of Personnel Management,2017,Y,Earned Revenue,21.3
2017-09-30,Office of Personnel Management,2017,Y,Subtotal,38.9
2017-09-30,Office of Personnel Management,2017,Y,Change in Assumptions,-47.1
2017-09-30,Office of Personnel Management,2017,Y,Net Cost,-8.2
2017-09-30,Department of the Treasury,2017,Y,Gross Cost,148.7
2017-09-30,Department of the Treasury,2017,Y,Earned Revenue,19.4
2017-09-30,Department of the Treasury,2017,Y,Subtotal,129.3
2017-09-30,Department of the Treasury,2017,Y,Change in Assumptions,NA
2017-09-30,Department of the Treasury,2017,Y,Net Cost,129.3
2017-09-30,Department of Agriculture,2017,Y,Gross Cost,142.1
2017-09-30,Department of Agriculture,2017,Y,Earned Revenue,8.5
2017-09-30,Department of Agriculture,2017,Y,Subtotal,133.6
2017-09-30,Department of Agriculture,2017,Y,Change in Assumptions,NA
2017-09-30,Department of Agriculture,2017,Y,Net Cost,133.6
2017-09-30,Department of Transportation,2017,Y,Gross Cost,80.7
2017-09-30,Department of Transportation,2017,Y,Earned Revenue,0.9
2017-09-30,Department of Transportation,2017,Y,Subtotal,79.8
2017-09-30,Department of Transportation,2017,Y,Change in Assumptions,NA
2017-09-30,Department of Transportation,2017,Y,Net Cost,79.8
2017-09-30,Department of Housing and Urban Development,2017,Y,Gross Cost,31.2
2017-09-30,Department of Housing and Urban Development,2017,Y,Earned Revenue,1.7
2017-09-30,Department of Housing and Urban Development,2017,Y,Subtotal,29.5
2017-09-30,Department of Housing and Urban Development,2017,Y,Change in Assumptions,NA
2017-09-30,Department of Housing and Urban Development,2017,Y,Net Cost,29.5
2017-09-30,Department of Homeland Security,2017,Y,Gross Cost,66.5
2017-09-30,Department of Homeland Security,2017,Y,Earned Revenue,13.1
2017-09-30,Department of Homeland Security,2017,Y,Subtotal,53.4
2017-09-30,Department of Homeland Security,2017,Y,Change in Assumptions,0.2
2017-09-30,Department of Homeland Security,2017,Y,Net Cost,53.6
2017-09-30,Department of Education,2017,Y,Gross Cost,103.1
2017-09-30,Department of Education,2017,Y,Earned Revenue,29.9
2017-09-30,Department of Education,2017,Y,Subtotal,73.2
2017-09-30,Department of Education,2017,Y,Change in Assumptions,NA
2017-09-30,Department of Education,2017,Y,Net Cost,73.2
2017-09-30,Department of Labor,2017,Y,Gross Cost,46.4
2017-09-30,Department of Labor,2017,Y,Earned Revenue,NA
2017-09-30,Department of Labor,2017,Y,Subtotal,46.4
2017-09-30,Department of Labor,2017,Y,Change in Assumptions,NA
2017-09-30,Department of Labor,2017,Y,Net Cost,46.4
2017-09-30,Department of Energy,2017,Y,Gross Cost,68.6
2017-09-30,Department of Energy,2017,Y,Earned Revenue,4.3
2017-09-30,Department of Energy,2017,Y,Subtotal,64.3
2017-09-30,Department of Energy,2017,Y,Change in Assumptions,NA
2017-09-30,Department of Energy,2017,Y,Net Cost,64.3
2017-09-30,Defense Security Cooperation Agency,2017,Y,Gross Cost,36
2017-09-30,Defense Security Cooperation Agency,2017,Y,Earned Revenue,NA
2017-09-30,Defense Security Cooperation Agency,2017,Y,Subtotal,36
2017-09-30,Defense Security Cooperation Agency,2017,Y,Change in Assumptions,NA
2017-09-30,Defense Security Cooperation Agency,2017,Y,Net Cost,36
2017-09-30,Department of Justice,2017,Y,Gross Cost,38.7
2017-09-30,Department of Justice,2017,Y,Earned Revenue,1.6
2017-09-30,Department of Justice,2017,Y,Subtotal,37.1
2017-09-30,Department of Justice,2017,Y,Change in Assumptions,NA
2017-09-30,Department of Justice,2017,Y,Net Cost,37.1
2017-09-30,Department of State,2017,Y,Gross Cost,32.6
2017-09-30,Department of State,2017,Y,Earned Revenue,4.7
2017-09-30,Department of State,2017,Y,Subtotal,27.9
2017-09-30,Department of State,2017,Y,Change in Assumptions,-0.1
2017-09-30,Department of State,2017,Y,Net Cost,27.8
2017-09-30,Federal Communications Commission,2017,Y,Gross Cost,10.4
2017-09-30,Federal Communications Commission,2017,Y,Earned Revenue,0.5
2017-09-30,Federal Communications Commission,2017,Y,Subtotal,9.9
2017-09-30,Federal Communications Commission,2017,Y,Change in Assumptions,NA
2017-09-30,Federal Communications Commission,2017,Y,Net Cost,9.9
2017-09-30,National Aeronautics and Space Administration,2017,Y,Gross Cost,20
2017-09-30,National Aeronautics and Space Administration,2017,Y,Earned Revenue,0.2
2017-09-30,National Aeronautics and Space Administration,2017,Y,Subtotal,19.8
2017-09-30,National Aeronautics and Space Administration,2017,Y,Change in Assumptions,NA
2017-09-30,National Aeronautics and Space Administration,2017,Y,Net Cost,19.8
2017-09-30,Department of the Interior,2017,Y,Gross Cost,19.2
2017-09-30,Department of the Interior,2017,Y,Earned Revenue,2.5
2017-09-30,Department of the Interior,2017,Y,Subtotal,16.7
2017-09-30,Department of the Interior,2017,Y,Change in Assumptions,NA
2017-09-30,Department of the Interior,2017,Y,Net Cost,16.7
2017-09-30,U.S. Agency for International Development,2017,Y,Gross Cost,12.6
2017-09-30,U.S. Agency for International Development,2017,Y,Earned Revenue,NA
2017-09-30,U.S. Agency for International Development,2017,Y,Subtotal,12.6
2017-09-30,U.S. Agency for International Development,2017,Y,Change in Assumptions,NA
2017-09-30,U.S. Agency for International Development,2017,Y,Net Cost,12.6
2017-09-30,Department of Commerce,2017,Y,Gross Cost,12.5
2017-09-30,Department of Commerce,2017,Y,Earned Revenue,3.3
2017-09-30,Department of Commerce,2017,Y,Subtotal,9.2
2017-09-30,Department of Commerce,2017,Y,Change in Assumptions,NA
2017-09-30,Department of Commerce,2017,Y,Net Cost,9.2
2017-09-30,Railroad Retirement Board,2017,Y,Gross Cost,15.3
2017-09-30,Railroad Retirement Board,2017,Y,Earned Revenue,3.9
2017-09-30,Railroad Retirement Board,2017,Y,Subtotal,11.4
2017-09-30,Railroad Retirement Board,2017,Y,Change in Assumptions,NA
2017-09-30,Railroad Retirement Board,2017,Y,Net Cost,11.4
2017-09-30,Environmental Protection Agency,2017,Y,Gross Cost,9
2017-09-30,Environmental Protection Agency,2017,Y,Earned Revenue,0.4
2017-09-30,Environmental Protection Agency,2017,Y,Subtotal,8.6
2017-09-30,Environmental Protection Agency,2017,Y,Change in Assumptions,NA
2017-09-30,Environmental Protection Agency,2017,Y,Net Cost,8.6
2017-09-30,National Science Foundation,2017,Y,Gross Cost,7
2017-09-30,National Science Foundation,2017,Y,Earned Revenue,NA
2017-09-30,National Science Foundation,2017,Y,Subtotal,7
2017-09-30,National Science Foundation,2017,Y,Change in Assumptions,NA
2017-09-30,National Science Foundation,2017,Y,Net Cost,7
2017-09-30,U.S. Postal Service,2017,Y,Gross Cost,77.2
2017-09-30,U.S. Postal Service,2017,Y,Earned Revenue,70.4
2017-09-30,U.S. Postal Service,2017,Y,Subtotal,6.8
2017-09-30,U.S. Postal Service,2017,Y,Change in Assumptions,NA
2017-09-30,U.S. Postal Service,2017,Y,Net Cost,6.8
2017-09-30,Smithsonian Institution,2017,Y,Gross Cost,0.8
2017-09-30,Smithsonian Institution,2017,Y,Earned Revenue,NA
2017-09-30,Smithsonian Institution,2017,Y,Subtotal,0.8
2017-09-30,Smithsonian Institution,2017,Y,Change in Assumptions,NA
2017-09-30,Smithsonian Institution,2017,Y,Net Cost,0.8
2017-09-30,Millennium Challenge Corporation,2017,Y,Gross Cost,0.6
2017-09-30,Millennium Challenge Corporation,2017,Y,Earned Revenue,NA
2017-09-30,Millennium Challenge Corporation,2017,Y,Subtotal,0.6
2017-09-30,Millennium Challenge Corporation,2017,Y,Change in Assumptions,NA
2017-09-30,Millennium Challenge Corporation,2017,Y,Net Cost,0.6
2017-09-30,U.S. Nuclear Regulatory Commission,2017,Y,Gross Cost,0.9
2017-09-30,U.S. Nuclear Regulatory Commission,2017,Y,Earned Revenue,0.8
2017-09-30,U.S. Nuclear Regulatory Commission,2017,Y,Subtotal,0.1
2017-09-30,U.S. Nuclear Regulatory Commission,2017,Y,Change in Assumptions,NA
2017-09-30,U.S. Nuclear Regulatory Commission,2017,Y,Net Cost,0.1
2017-09-30,Overseas Private Investment Corporation,2017,Y,Gross Cost,NA
2017-09-30,Overseas Private Investment Corporation,2017,Y,Earned Revenue,0.1
2017-09-30,Overseas Private Investment Corporation,2017,Y,Subtotal,-0.1
2017-09-30,Overseas Private Investment Corporation,2017,Y,Change in Assumptions,NA
2017-09-30,Overseas Private Investment Corporation,2017,Y,Net Cost,-0.1
2017-09-30,Securities and Exchange Commission,2017,Y,Gross Cost,1.7
2017-09-30,Securities and Exchange Commission,2017,Y,Earned Revenue,2
2017-09-30,Securities and Exchange Commission,2017,Y,Subtotal,-0.3
2017-09-30,Securities and Exchange Commission,2017,Y,Change in Assumptions,NA
2017-09-30,Securities and Exchange Commission,2017,Y,Net Cost,-0.3
2017-09-30,Small Business Administration,2017,Y,Gross Cost,0.5
2017-09-30,Small Business Administration,2017,Y,Earned Revenue,0.3
2017-09-30,Small Business Administration,2017,Y,Subtotal,0.2
2017-09-30,Small Business Administration,2017,Y,Change in Assumptions,NA
2017-09-30,Small Business Administration,2017,Y,Net Cost,0.2
2017-09-30,Farm Credit System Insurance Corporation,2017,Y,Gross Cost,NA
2017-09-30,Farm Credit System Insurance Corporation,2017,Y,Earned Revenue,0.3
2017-09-30,Farm Credit System Insurance Corporation,2017,Y,Subtotal,-0.3
2017-09-30,Farm Credit System Insurance Corporation,2017,Y,Change in Assumptions,NA
2017-09-30,Farm Credit System Insurance Corporation,2017,Y,Net Cost,-0.3
2017-09-30,General Services Administration,2017,Y,Gross Cost,0.6
2017-09-30,General Services Administration,2017,Y,Earned Revenue,0.7
2017-09-30,General Services Administration,2017,Y,Subtotal,-0.1
2017-09-30,General Services Administration,2017,Y,Change in Assumptions,NA
2017-09-30,General Services Administration,2017,Y,Net Cost,-0.1
2017-09-30,National Credit Union Administration,2017,Y,Gross Cost,-0.7
2017-09-30,National Credit Union Administration,2017,Y,Earned Revenue,0.1
2017-09-30,National Credit Union Administration,2017,Y,Subtotal,-0.8
2017-09-30,National Credit Union Administration,2017,Y,Change in Assumptions,NA
2017-09-30,National Credit Union Administration,2017,Y,Net Cost,-0.8
2017-09-30,Tennessee Valley Authority,2017,Y,Gross Cost,9.3
2017-09-30,Tennessee Valley Authority,2017,Y,Earned Revenue,10.6
2017-09-30,Tennessee Valley Authority,2017,Y,Subtotal,-1.3
2017-09-30,Tennessee Valley Authority,2017,Y,Change in Assumptions,NA
2017-09-30,Tennessee Valley Authority,2017,Y,Net Cost,-1.3
2017-09-30,Export-Import Bank of the United States,2017,Y,Gross Cost,-0.2
2017-09-30,Export-Import Bank of the United States,2017,Y,Earned Revenue,1.2
2017-09-30,Export-Import Bank of the United States,2017,Y,Subtotal,-1.4
2017-09-30,Export-Import Bank of the United States,2017,Y,Change in Assumptions,NA
2017-09-30,Export-Import Bank of the United States,2017,Y,Net Cost,-1.4
2017-09-30,Pension Benefit Guaranty Corporation,2017,Y,Gross Cost,19.4
2017-09-30,Pension Benefit Guaranty Corporation,2017,Y,Earned Revenue,14
2017-09-30,Pension Benefit Guaranty Corporation,2017,Y,Subtotal,5.4
2017-09-30,Pension Benefit Guaranty Corporation,2017,Y,Change in Assumptions,NA
2017-09-30,Pension Benefit Guaranty Corporation,2017,Y,Net Cost,5.4
2017-09-30,Federal Deposit Insurance Corporation,2017,Y,Gross Cost,0.2
2017-09-30,Federal Deposit Insurance Corporation,2017,Y,Earned Revenue,9.5
2017-09-30,Federal Deposit Insurance Corporation,2017,Y,Subtotal,-9.3
2017-09-30,Federal Deposit Insurance Corporation,2017,Y,Change in Assumptions,NA
2017-09-30,Federal Deposit Insurance Corporation,2017,Y,Net Cost,-9.3
2017-09-30,All other entities,2017,Y,Gross Cost,21.1
2017-09-30,All other entities,2017,Y,Earned Revenue,1.3
2017-09-30,All other entities,2017,Y,Subtotal,19.8
2017-09-30,All other entities,2017,Y,Change in Assumptions,NA
2017-09-30,All other entities,2017,Y,Net Cost,19.8
2017-09-30,Total,2017,Y,Gross Cost,4515.7
2017-09-30,Total,2017,Y,Earned Revenue,383.9
2017-09-30,Total,2017,Y,Subtotal,4131.8
2017-09-30,Total,2017,Y,Change in Assumptions,273.3
2017-09-30,Total,2017,Y,Net Cost,4405.1
2016-09-30,Department of Health and Human Services,2016,N,Gross Cost,1170
2016-09-30,Department of Health and Human Services,2016,N,Earned Revenue,96.1
2016-09-30,Department of Health and Human Services,2016,N,Subtotal,1073.9
2016-09-30,Department of Health and Human Services,2016,N,Change in Assumptions,0.4
2016-09-30,Department of Health and Human Services,2016,N,Net Cost,1074.3
2016-09-30,Social Security Administration,2016,N,Gross Cost,982.1
2016-09-30,Social Security Administration,2016,N,Earned Revenue,0.3
2016-09-30,Social Security Administration,2016,N,Subtotal,981.8
2016-09-30,Social Security Administration,2016,N,Change in Assumptions,NA
2016-09-30,Social Security Administration,2016,N,Net Cost,981.8
2016-09-30,Department of Veterans Affairs,2016,N,Gross Cost,276.5
2016-09-30,Department of Veterans Affairs,2016,N,Earned Revenue,4.9
2016-09-30,Department of Veterans Affairs,2016,N,Subtotal,271.6
2016-09-30,Department of Veterans Affairs,2016,N,Change in Assumptions,377.5
2016-09-30,Department of Veterans Affairs,2016,N,Net Cost,649.1
2016-09-30,Department of Defense,2016,N,Gross Cost,721.9
